"filename", "language", "JavaScript", "CSS", "HTML", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\bootstrap-tweaks.css", "CSS", 0, 177, 0, 0, 0, 0, 15, 46, 238
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 5, 0, 6
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\default.css", "CSS", 0, 62, 0, 0, 0, 0, 3, 18, 83
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\font-awesome-4.0.3.css", "CSS", 0, 1329, 0, 0, 0, 0, 9, 1, 1339
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\prettify.css", "CSS", 0, 27, 0, 0, 0, 0, 1, 2, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\css\base.css", "CSS", 0, 291, 0, 0, 0, 0, 4, 65, 360
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\css\highlight.css", "CSS", 0, 101, 0, 0, 0, 0, 6, 19, 126
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\css\jquery.json-view.min.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\js\api.js", "JavaScript", 259, 0, 0, 0, 0, 0, 20, 37, 316
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\js\highlight.pack.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\docs\js\jquery.json-view.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 414, 0, 0, 0, 1, 415
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 288, 0, 0, 0, 1, 289
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\ajax-form.js", "JavaScript", 95, 0, 0, 0, 0, 0, 16, 23, 134
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\coreapi-0.1.1.js", "JavaScript", 1471, 0, 0, 0, 0, 0, 223, 349, 2043
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\csrf.js", "JavaScript", 35, 0, 0, 0, 0, 0, 9, 10, 54
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\default.js", "JavaScript", 32, 0, 0, 0, 0, 0, 6, 10, 48
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\jquery-3.7.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\load-ajax-form.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\js\prettify-min.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\userprofile\css\profile.css", "CSS", 0, 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\userprofile\js\profile.js", "JavaScript", 30, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\Jolan\Desktop\proximitylinked\templates\base.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 4, 5
"Total", "-", 21039, 6986, 18, 886, 34, 11, 4488, 6618, 40080
