Date : 2025-05-12 17:04:57
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 169 files,  28974 codes, 4488 comments, 6618 blanks, all 40080 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sr.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sv.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\th.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\tk.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\tr.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\uk.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\vi.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\zh-CN.js                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\zh-TW.js                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\select2.full.js               | JavaScript |      5,102 |        384 |      1,335 |      6,821 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\select2.full.min.js           | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\xregexp\xregexp.js                    | JavaScript |      3,817 |      1,303 |      1,007 |      6,127 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\xregexp\xregexp.min.js                | JavaScript |          4 |         13 |          1 |         18 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\chat\css\layout.css                                   | CSS        |        395 |          5 |         72 |        472 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\chat\js\chat.js                                       | JavaScript |        340 |         13 |         75 |        428 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\friendsearch\css\friend_search.css                    | CSS        |        202 |         18 |         34 |        254 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\friendsearch\js\friend_search.js                      | JavaScript |        208 |         42 |         20 |        270 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\css\ol3.css                                       | CSS        |         35 |          0 |          5 |         40 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_line_off.svg                             | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_line_on.svg                              | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_point_off.svg                            | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_point_on.svg                             | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_polygon_off.svg                          | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\img\draw_polygon_on.svg                           | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\gis\js\OLMapWidget.js                                 | JavaScript |        201 |         14 |         19 |        234 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\js\admin_clear_buttons.js                             | JavaScript |         13 |          0 |          1 |         14 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\moments\css\moment_styles.css                         | CSS        |        198 |          9 |         42 |        249 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\moments\js\moment_feed.js                             | JavaScript |        350 |         14 |         64 |        428 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\bootstrap-theme.min.css            | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\bootstrap-tweaks.css               | CSS        |        177 |         15 |         46 |        238 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\bootstrap.min.css                  | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\rest_framework\css\default.css                        | CSS        |         62 |          3 |         18 |         83 |
